HR,Watts
84,58
85,57
87,56
88,56
90,56
90,56
91,56
91,56
94,56
96,56
98,56
99,56
101,56
103,56
105,56
106,56
107,57
106,59
106,59
105,59
105,59
106,59
107,59
108,59
108,59
109,59
108,61
107,60
106,15
106,59
107,59
107,45
107,61
107,62
107,62
107,62
106,62
106,62
105,62
104,62
103,62
102,62
101,63
101,62
101,62
100,62
100,63
99,64
99,64
98,64
97,64
97,64
98,64
99,64
101,64
101,64
101,64
100,64
100,64
100,64
100,64
102,64
103,67
103,67
104,67
104,67
103,67
101,67
100,67
100,68
98,67
97,67
97,67
97,67
98,67
99,0
101,51
102,71
103,70
103,69
102,70
102,70
101,70
101,70
100,70
101,70
102,71
103,71
104,70
105,70
105,70
105,71
106,73
106,73
106,73
106,73
106,73
105,74
104,74
104,73
103,73
103,73
103,73
103,74
103,74
102,72
102,74
104,75
105,75
106,75
106,75
105,75
106,75
106,75
106,75
106,75
106,75
107,75
108,75
109,75
109,75
110,78
109,78
108,78
108,78
108,78
109,78
110,78
111,78
111,78
112,78
112,78
112,78
112,78
111,78
112,77
112,80
113,80
113,81
112,81
111,81
110,81
109,81
109,81
110,81
111,81
111,81
110,81
110,81
109,81
109,82
108,82
109,83
109,84
110,84
110,87
108,65
108,84
108,83
108,83
110,84
111,84
112,83
113,84
113,84
112,84
112,85
111,87
111,88
112,88
112,87
111,87
110,87
109,87
108,88
107,87
107,87
107,87
107,87
108,87
108,87
108,88
108,89
108,89
108,89
109,90
111,89
112,89
112,89
113,89
113,89
113,89
114,89
114,90
115,90
115,89
115,92
114,92
114,92
114,93
114,92
114,92
114,92
114,92
114,92
114,92
113,93
113,92
113,92
113,92
112,92
112,94
113,95
114,95
115,95
115,97
116,25
116,73
114,97
113,96
111,96
110,73
110,47
110,94
111,95
112,95
113,96
114,98
116,98
117,98
117,98
117,101
117,100
115,98
115,97
115,101
115,98
113,97
111,97
109,98
108,99
107,98
107,102
107,101
109,99
110,100
112,101
114,101
115,101
116,101
117,101
118,101
118,101
117,101
117,101
117,101
117,102
118,103
118,103
118,103
118,103
118,103
117,103
117,103
117,103
116,103
117,103
117,103
117,103
116,103
115,103
115,104
115,105
115,106
115,106
115,106
115,105
115,107
115,107
114,106
115,106
115,107
116,106
117,106
118,106
118,106
119,106
119,108
118,109
118,108
118,108
118,109
118,111
119,111
119,108
119,107
119,109
119,109
118,108
117,108
117,109
116,111
114,112
113,112
112,113
111,112
111,113
112,112
113,113
114,113
113,112
113,112
113,112
114,112
115,112
115,112
114,112
114,114
113,113
113,113
113,115
113,115
112,113
112,114
112,115
113,114
114,114
114,114
115,114
115,114
115,114
116,115
116,117
117,117
118,117
119,117
120,116
120,117
120,117
119,117
119,116
120,117
120,117
121,118
121,118
122,118
122,117
121,119
121,120
122,120
123,120
123,120
124,120
123,120
123,120
123,120
122,120
121,120
121,121
119,121
119,120
119,119
119,124
119,123
120,123
120,122
120,123
120,123
120,123
119,123
119,123
119,123
119,122
119,123
119,123
119,123
119,126
119,127
120,127
120,125
120,125
121,126
121,126
121,126
121,126
122,126
122,126
122,126
123,127
124,126
124,126
125,128
125,129
126,128
126,127
126,128
126,129
126,129
127,129
127,128
128,128
128,128
129,128
130,128
130,128
129,128
127,130
126,132
126,132
